"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0,0,0,0,0,0,0,0
"2",1,1,1,0,0,1,1,1,0,1
"3",1,0,0,0,1,1,0,1,0,0
"4",1,0,1,1,0,1,0,0,0,1
"5",0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0
"7",0,0,1,0,0,1,1,1,0,1
"8",1,1,1,0,0,0,0,1,1,0
"9",0,0,0,1,0,0,1,0,1,0
"10",0,0,0,0,1,0,0,1,0,0
"11",0,0,0,1,1,0,1,1,0,0
"12",1,0,0,0,0,1,0,0,1,0
"13",1,0,1,0,1,1,0,0,1,0
"14",1,1,0,0,0,0,1,1,1,0
"15",1,0,0,1,0,1,0,1,0,0
"16",1,0,0,0,0,0,0,0,1,0
"17",0,0,0,0,0,0,0,0,0,0
"18",1,0,0,0,1,1,0,0,1,0
"19",0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0
"21",1,0,1,1,0,0,0,0,1,1
"22",1,0,0,1,1,0,1,1,0,1
"23",0,0,0,0,0,0,0,0,0,0
"24",1,0,0,1,1,1,0,0,0,1
"25",0,1,1,1,1,1,0,0,1,1
"26",1,1,1,0,0,1,1,0,1,1
"27",0,0,0,0,0,0,0,0,0,0
"28",1,0,0,0,0,1,0,1,1,0
"29",1,0,1,0,0,0,1,0,1,1
"30",1,0,1,1,1,0,0,0,1,0
"31",1,0,0,1,1,0,1,1,0,1
"32",1,0,0,1,1,1,0,0,1,1
"33",1,0,0,0,1,1,1,1,0,1
"34",0,0,0,0,0,0,0,0,0,0
"35",1,1,0,1,0,1,1,0,0,1
"36",0,0,0,0,0,0,0,0,0,0
"37",1,1,1,1,0,1,1,0,1,1
"38",1,1,0,1,0,0,0,1,0,0
"39",0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0
"43",0,0,1,0,0,0,1,1,0,1
"44",0,1,0,0,1,0,0,0,0,1
"45",0,0,0,0,0,0,0,0,0,0
"46",0,0,1,1,0,1,1,1,0,0
"47",0,0,1,1,0,1,1,1,0,1
"48",0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0
"51",1,0,1,0,0,0,1,1,0,1
"52",0,0,0,0,0,0,0,0,0,0
"53",0,1,0,0,0,1,1,0,0,1
"54",0,0,0,0,0,0,0,0,0,0
"55",1,0,0,0,0,0,0,1,0,0
"56",0,0,0,1,0,0,0,0,1,0
"57",0,0,1,0,0,0,1,1,0,0
"58",0,0,0,0,0,0,0,0,0,0
"59",0,1,1,0,0,1,0,1,1,0
"60",0,0,0,1,0,1,1,1,0,0
"61",1,0,1,1,1,1,1,1,0,1
"62",1,0,1,0,0,0,0,1,1,0
"63",0,1,0,0,1,1,1,1,1,1
"64",0,0,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,0,0
"66",1,0,1,1,1,1,1,1,1,1
"67",1,0,1,1,0,1,1,0,1,0
"68",0,0,0,0,0,0,0,0,0,0
"69",1,1,1,1,1,0,1,0,0,1
"70",0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,1,0,1,1
"73",0,0,0,1,0,1,1,0,0,1
"74",0,0,0,0,0,0,0,0,0,0
"75",0,1,0,1,0,0,0,0,0,0
"76",0,1,1,0,0,1,0,0,0,0
"77",1,1,0,1,0,1,1,1,1,0
"78",1,0,0,1,0,1,0,1,1,0
"79",1,0,1,1,0,1,1,1,1,0
"80",0,0,0,1,1,1,1,1,1,1
"81",0,1,0,0,0,1,1,0,0,1
"82",0,0,0,0,0,0,0,0,0,0
"83",0,1,1,1,0,1,1,1,0,1
"84",0,0,0,0,0,0,0,0,0,0
"85",0,0,0,1,0,1,0,0,0,0
"86",1,1,0,0,0,0,1,1,0,1
"87",0,0,0,0,0,1,1,1,0,0
"88",0,0,0,0,0,0,0,0,0,0
"89",0,1,1,0,1,0,1,0,1,0
"90",0,0,0,0,0,1,1,0,0,1
"91",0,0,0,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0,0,0,0
"95",0,1,0,1,0,1,0,0,1,0
"96",0,0,0,0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,0,0,0
"99",0,0,0,0,1,0,0,1,1,1
"100",0,0,0,0,0,0,0,0,0,0
